title	subtitle	description	image_link	reference1	reference2
Asagi Koi	あさぎ恋	indigo or blue body, with red at the base of the pectoral fins referred to as Motoaka. They have the common diamond-like scale patterns, red-hi- fish markings and are not metallic. the head is either white or pale blue, and free of any markings. has the usual blue-colored diamond-like pattern and red coloration with the addition of a white line of scales that sits between the red and blue areas on the body.	https://mk0upgradedhomeq98he.kinstacdn.com/wp-content/uploads/2021/02/gin_rin_asagi-768x942.webp	https://upgradedhome.com/types-of-koi-fish/#:~:text=15%20Types%20of%20Koi%20Fish%20With%20more%20than,winner%20that%20will%20dazzle%20your%20outdoor%20koi%20pond.	https://www.koiandponds.com/
Hi Asagi 	こんにちは朝木	tends to have more red on their bodies than usual	https://www.koitotheworld.com/products/7-5-hi-asagi	https://www.koitotheworld.com/products/7-5-hi-asagi	https://www.koitotheworld.com/
Bekko Koi	ベッコ・コイ	non-metallic type of koi fish that is solid colored, containing black (sumi) spots on the body. Bekki koi fish generally come in three main colors: red, yellow, and white. Their heads should be clear of any black markings, patterns, or spots.	https://mk0upgradedhomeq98he.kinstacdn.com/wp-content/uploads/2021/02/1V5A0420-1-768x1152.webp	https://upgradedhome.com/types-of-koi-fish/#:~:text=15%20Types%20of%20Koi%20Fish%20With%20more%20than,winner%20that%20will%20dazzle%20your%20outdoor%20koi%20pond.	
Shiro Bekko	四郎ベッコ	highly recognizable by its clean white body and black spots.	http://benskoifarm.com/koi/bekko/shiro-bekko/	http://benskoifarm.com/koi/bekko/shiro-bekko/	
Ki Bekko koi	キ・ベッコ・コイ	has a yellow body with black spots	https://www.koitotheworld.com/products/6-5-ki-bekko	https://www.koitotheworld.com/products/6-5-ki-bekko	
Aka Bekko koi	アカ・ベッコ・コイ	has an orange or red body and black spots.	https://www.grandkoi.com/product/aka-bekko/	https://www.grandkoi.com/product/aka-bekko/	
Doitsu Koi	ドイツ・コイ	does not have scales. The lack of scales gives Doitsu koi fish that famous metallic sheen.	https://mk0upgradedhomeq98he.kinstacdn.com/wp-content/uploads/2021/02/doitsu-metallic-ochibashigure-from-koshiji-koi-farm-v1-768x769.webp	https://upgradedhome.com/types-of-koi-fish/#:~:text=15%20Types%20of%20Koi%20Fish%20With%20more%20than,winner%20that%20will%20dazzle%20your%20outdoor%20koi%20pond.	
Doitsu Sanke	ドイツサンケ	A Sanke is a koi with a solid white base overlaid with red and black	https://loveaquatics.com/wp-content/uploads/2021/03/20210305_151321-600x600.jpg	https://loveaquatics.com/product/16-doitsu-sanke-koi-high-quality-koi-for-sale/#:~:text=A%20Sanke%20is%20a%20koi%20with%20a%20solid,Sanke%2C%20Tancho%20Sanke%2C%20Gin%20rin%20Sanke%20and%20Maruten.	
Doitsu Kohaku	ドイツ紅白	bred to create the desired red and white coloration that is associated with Kohaku koi in combination with the scaleless nature of the Doitsu German Koi.  are often referred to as leather carp since you can see and feel their leathery, scaleless skin. referred to as a mirror carp, has a line of thick, highly visible dorsal scales down its back and at the lateral line. Ideal Kohaku koi, Doitsu or not, have a primarily unblemished white body with red accenting. The white hue should be clear and even, with no discoloration or yellowing to be seen. yellow noses, which causes them to lose points in showcases. can be one of two colorations: purple-tinged red or pure, true red. koi’s red tones are more favorable as the true red but many accept the purple-toned red, too. Kohaku patterns, including boze, which means the head is purely white, and bongiri which means the pattern of the body connects to the red patterning on the head.	https://totallykoi.com/wp-content/uploads/elementor/thumbs/koi-doitsu-kohaku-koi-1560057-1279x2071-1-ownznrab3n61611558rtbj506pn4hth6elaxwkr6a0.jpg	https://totallykoi.com/all-about-koi-doitsu-kohaku/	
Shusui Koi	修水恋	one of the few blue-colored. Because of the lack of scales on the body, there is no blue diamond-like pattern. has the coloring of an Asagi with only a single line of large scales down its back. striking colors, bizarre scaling, and symmetrical patterns. they only have scales down the middle of their back, along the dorsal fins, a symmetrical pattern is ideal. has a very beautiful blue color. HI marks on their fins, body, head, and cheeks,	https://mk0upgradedhomeq98he.kinstacdn.com/wp-content/uploads/2021/02/shutterstock_1608331795.webp	https://upgradedhome.com/types-of-koi-fish/#:~:text=15%20Types%20of%20Koi%20Fish%20With%20more%20than,winner%20that%20will%20dazzle%20your%20outdoor%20koi%20pond.	
Goshiki Koi	五敷恋	display an array of colors, including blue, grey, and black. The colors appear in a netted pattern across a white and red Kohaku-like body. white is often the base color, blue and black make up the net-like pattern, and red-orange is found in the hi-plate. the hi plate will often thicken, and the fishnet pattern will show through much less. 	https://mk0upgradedhomeq98he.kinstacdn.com/wp-content/uploads/2021/02/maxresdefault-768x432.webp	https://upgradedhome.com/types-of-koi-fish/#:~:text=15%20Types%20of%20Koi%20Fish%20With%20more%20than,winner%20that%20will%20dazzle%20your%20outdoor%20koi%20pond.	
Tancho Koi	タンチョ恋	a simple, sleek fish that is known for the red spot on its head. the defining red spot on the head must be symmetrical, whether it’s heart-shaped, oval, diamond-shaped, or circular. It must also be relatively large in size and not be speckled. Though there are different varieties of Tancho, they all have the same red pattern centered between the eyes on the head. Aside from the symmetrical red spot, Tancho koi also have a solid white base body.	https://mk0upgradedhomeq98he.kinstacdn.com/wp-content/uploads/2021/02/shutterstock_1203939640.webp	https://upgradedhome.com/types-of-koi-fish/#:~:text=15%20Types%20of%20Koi%20Fish%20With%20more%20than,winner%20that%20will%20dazzle%20your%20outdoor%20koi%20pond.	
